Year,Animal Products,Vegetable Products,Animal and Vegetable Bi-Products,Foodstuffs,Mineral Products,Chemical Products,Plastics and Rubbers,Animal Hides,Wood Products,Paper Goods,Textiles,Footwear and Headwear,Stone And Glass,Precious Metals,Metals,Machines,Transportation,Instruments,Weapons,Miscellaneous,Arts and Antiques
1995,569384227.1696361,703578521.5989989,205128295.27349317,1481102745.1618176,2870665769.9051743,5321933182.189084,2687912025.3875675,448100085.6053406,636050526.569406,2251635004.2499104,3060545326.207676,517639876.45903623,780090844.5180691,854831599.1009624,3058483264.2915277,18779403945.564842,8941076234.846027,2684779593.332501,59128680.869962305,1272542493.8724582,71118965.6798053
1996,607953548.893852,663386584.555009,225255054.60605696,1634664666.885942,3658866926.7275558,6225323422.982775,2735386579.1163573,451972328.5043977,584033592.2494711,2157869111.9395213,3195753415.9307528,564303211.088557,789614510.1391436,960830677.8105171,2905551575.6007047,19862406637.489758,9022277971.328945,2738918822.8036904,114342736.3516959,1420286867.839633,75412235.6526666
1997,641751998.567991,695747652.773804,214366881.19443163,1686053014.4929686,3653768281.472734,5835054466.934182,2743075346.1785607,406380177.9889597,627791872.0559719,2096523283.3326719,3248562489.0291424,584522188.792235,769916977.0555546,1052637191.4505998,3136769705.0808115,19491453705.535988,8931532256.429348,2872358226.624552,99416899.3339235,1550024655.36584,99726246.95805198
1998,584892585.4771509,642658049.0504164,214131895.6672087,1633809680.2045808,2643336710.9422646,6008916703.861271,2621323595.7136025,359834924.9232852,573706715.4872302,2020928361.9749162,3097858176.7150555,579553745.76021,789058156.4560196,2278913057.321027,2973562998.9447837,18502492624.66969,9421305568.36584,2832802185.5784693,93211209.19542411,1473038763.8091376,87470674.1206539
1999,699589752.0020521,650425520.1380612,201957216.0236833,1782645123.4837341,3614176417.847928,6711952584.623904,2658404292.4906187,375469348.72814137,650880633.1722676,2108446105.2589064,3247323599.301788,603846180.1120661,843382985.6716838,1864948941.3114169,2870200160.444891,19821937213.259075,10580446366.497534,2984197152.155779,84618215.9357782,1616945896.0477211,105585119.13634333
2000,650264528.9748946,608519955.7295333,182348735.78474134,1776458003.0075405,5449786902.145427,6810134193.510925,2679370356.9576464,403712066.3627557,706529001.3752309,2114711369.510459,3271108828.5556293,631386677.4321611,830317005.2321471,1427242847.6934175,2921844885.1154895,20795640581.429653,11078016494.911827,2889336586.9070315,143400683.0656842,1739956822.9849577,85130633.6103704
2001,635730002.5299814,502921850.21422386,173941173.89302015,1819676348.4552019,5167727957.712368,6750613512.02336,2532757651.9334745,393995668.42379797,526705156.1237463,1783052831.4718165,2892636853.061348,580022363.1774094,749995531.741848,1616349760.86753,2777317393.802514,18201601021.59214,9314540229.126188,2837582815.221785,104682643.9348319,1590911238.0886078,50360270.5039004
2002,732499171.5051317,589455155.3940896,320374884.1643073,2049186654.662212,5440557765.257019,6999235134.552261,2874123206.875319,419234819.88188267,770361498.2815176,1960556374.9697812,3240496795.9109926,667259262.8069595,863751927.3128673,1920174053.1205893,3149435963.5664387,19552113730.214836,12535412338.62498,2969050338.9597225,178705240.898309,2034521454.9031672,66502304.82315819
2003,876883976.0476497,776639728.8543255,263612282.19155505,2532981764.9423113,6532251881.800929,8477941577.573417,3476891426.7218437,478400101.6941664,840610581.7404199,2360838103.002828,3824533073.44146,710019434.9576677,1047001212.9884888,2575949502.2878428,4045503894.538665,23712628619.11817,15686397104.42571,3504259806.8390145,231728544.85414892,2406420477.3327656,64440984.933581606
2004,1011011523.5246428,863565722.1933017,323221575.13974446,2915330189.3673925,9524140267.158247,10662150873.567818,4031714669.369315,568425614.5049013,946300716.0407444,2706016421.0212417,4418352343.381754,840954220.1368192,1213605393.7044647,2881156748.8678155,5139169290.969045,29815388527.712254,17709842178.2293,4393204087.418935,305088126.323116,2998670313.4182205,82628340.02562189
