"Year","Section ID","Section","Trade Value"
1995,1,"Animal Products",569384227.1696361
1995,2,"Vegetable Products",703578521.5989989
1995,3,"Animal and Vegetable Bi-Products",205128295.27349317
1995,4,"Foodstuffs",1481102745.1618176
1995,5,"Mineral Products",2870665769.9051743
1995,6,"Chemical Products",5321933182.189084
1995,7,"Plastics and Rubbers",2687912025.3875675
1995,8,"Animal Hides",448100085.6053406
1995,9,"Wood Products",636050526.569406
1995,10,"Paper Goods",2251635004.2499104
1995,11,"Textiles",3060545326.207676
1995,12,"Footwear and Headwear",517639876.45903623
1995,13,"Stone And Glass",780090844.5180691
1995,14,"Precious Metals",854831599.1009624
1995,15,"Metals",3058483264.2915277
1995,16,"Machines",18779403945.564842
1995,17,"Transportation",8941076234.846027
1995,18,"Instruments",2684779593.332501
1995,19,"Weapons",59128680.869962305
1995,20,"Miscellaneous",1272542493.8724582
1995,21,"Arts and Antiques",71118965.6798053
1996,1,"Animal Products",607953548.893852
1996,2,"Vegetable Products",663386584.555009
1996,3,"Animal and Vegetable Bi-Products",225255054.60605696
1996,4,"Foodstuffs",1634664666.885942
1996,5,"Mineral Products",3658866926.7275558
1996,6,"Chemical Products",6225323422.982775
1996,7,"Plastics and Rubbers",2735386579.1163573
1996,8,"Animal Hides",451972328.5043977
1996,9,"Wood Products",584033592.2494711
1996,10,"Paper Goods",2157869111.9395213
1996,11,"Textiles",3195753415.9307528
1996,12,"Footwear and Headwear",564303211.088557
1996,13,"Stone And Glass",789614510.1391436
1996,14,"Precious Metals",960830677.8105171
1996,15,"Metals",2905551575.6007047
1996,16,"Machines",19862406637.489758
1996,17,"Transportation",9022277971.328945
1996,18,"Instruments",2738918822.8036904
1996,19,"Weapons",114342736.3516959
1996,20,"Miscellaneous",1420286867.839633
1996,21,"Arts and Antiques",75412235.6526666
1997,1,"Animal Products",641751998.567991
1997,2,"Vegetable Products",695747652.773804
1997,3,"Animal and Vegetable Bi-Products",214366881.19443163
1997,4,"Foodstuffs",1686053014.4929686
1997,5,"Mineral Products",3653768281.472734
1997,6,"Chemical Products",5835054466.934182
1997,7,"Plastics and Rubbers",2743075346.1785607
1997,8,"Animal Hides",406380177.9889597
